Universidade de São Paulo (USP);38871
Universidade Federal do Rio de Janeiro (UFRJ);15666
Unuversidade Estadual de Campinas (Unicamp);14768
Universidade Estadual Paulista (Unesp);13658
Universidade Federal do Rio Grande do Sul (UFRGS);12934
Universidade Federal de Minas Gerais (UFMG);12577
Fundação Oswaldo Cruz (Fiocruz);6997
Universidade Federal de Santa Catarina (UFSC);6922
Universidade Federal do Paraná (UFPR);6673
Universidade do Estado do Rio de Janeiro (UERJ);6373
Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA);6220
Universidade Federal de São Paulo (UNIFESP);6176
Universidade Federal de Pernambuco (UFPE);5926
Univerisade Federal de São Carolos (UFSCar);5671
Universidade Federal de Viçosa (UFV);5233
Universidade Federal do Ceará (UFC);4994
Universidade de Brasília (UnB);4929
Universidade Federal de Santa Maria (UFSM);4570
Universidade Federal Fluminense (UFF);4523
